playerNr,groupNr,subjectNr,groupNrStart,currentGroupSize,period,onPage,connected,tStart,lastActionTime,ipaddress,ipaddress_part,location,waitMore,lobbyReady,enterLobby,role,wait_380446ready,wait_380474ready,wait_380448ready,wait_380449ready,wait_380450ready,wait_380451ready,wait_380452ready,wait_380453ready,wait_380454ready,wait_380455ready,wait_380456ready,wait_380457ready,wait_380458ready,wait_380459ready,wait_380460ready,wait_380461ready,wait_380462ready,wait_380463ready,wait_380464ready,wait_lastInPeriod,periodReady,leftExperiment,experimentTerminated,groupAborted
1,0,0,0,0,12,end,0,1686044881,1686044907,5297a079365c73125d6b05854bb3f14f81704773,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
2,0,0,0,0,12,end,0,1686044909,1686044924,5e2b1ee519084e5caa59328645b8825830040534,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
3,0,0,0,0,12,end,0,1686044787,1686044801,5297a079365c73125d6b05854bb3f14f32279348,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
4,0,0,0,0,12,end,0,1686045114,1686045109,bce49d7bcf8f51b6be7ad12debb4bffc93628532,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
5,0,0,0,0,12,end,0,1686045088,1686045118,5297a079365c73125d6b05854bb3f14f38653135,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
6,0,0,0,0,12,end,0,1686045132,1686045154,5297a079365c73125d6b05854bb3f14f34892980,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
7,0,0,0,0,12,end,0,1686044841,1686044854,5297a079365c73125d6b05854bb3f14f30004648,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
8,0,0,0,0,12,end,0,1686045106,1686045141,5297a079365c73125d6b05854bb3f14f41738615,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
9,0,0,0,0,12,end,0,1686045091,1686045106,5297a079365c73125d6b05854bb3f14f66963927,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
10,0,0,0,0,12,end,0,1686045124,1686045163,5297a079365c73125d6b05854bb3f14f45797863,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
11,0,0,0,0,12,end,0,1686045100,1686045132,5297a079365c73125d6b05854bb3f14f15358912,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
12,0,0,0,0,10,play,0,1686044628,1686044815,5297a079365c73125d6b05854bb3f14f80613290,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
13,0,0,0,0,12,end,0,1686044978,1686045024,5297a079365c73125d6b05854bb3f14f25814488,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
14,0,0,0,0,2,play,0,1686044376,1686044397,5297a079365c73125d6b05854bb3f14f32340496,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
15,0,0,0,0,12,end,0,1686045429,1686045449,bce49d7bcf8f51b6be7ad12debb4bffc15039518,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
16,0,0,0,0,12,end,0,1686045176,1686045190,5e2b1ee519084e5caa59328645b8825893847556,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
17,0,0,0,0,12,end,0,1686045760,1686045776,5297a079365c73125d6b05854bb3f14f51780685,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
18,0,0,0,0,12,end,0,1686045322,1686045343,5297a079365c73125d6b05854bb3f14f73396860,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
19,0,0,0,0,12,end,0,1686045522,1686045532,477a02a462d696040ecf5b69f38a330875666881,109.38.133,52.3782#4.853,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
20,0,0,0,0,12,end,0,1686045770,1686045825,5297a079365c73125d6b05854bb3f14f82145016,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
21,0,0,0,0,12,play,0,1686045402,1686045743,5297a079365c73125d6b05854bb3f14f49069583,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
22,0,0,0,0,1,iend,0,1686045205,1686045252,bce49d7bcf8f51b6be7ad12debb4bffc74246466,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
23,0,0,0,0,0,NA,NA,0,0,bce49d7bcf8f51b6be7ad12debb4bffc67185074,178.226.87,52.9405#6.6016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,0,0,0,1,welcome,0,1686045546,1686045566,0872a3da140c78795a4b7a59700c096c71278075,31.186.166,53.2066#5.7697,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
25,0,0,0,0,12,end,0,1686047641,1686047660,5297a079365c73125d6b05854bb3f14f40124516,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
26,0,0,0,0,12,end,0,1686047683,1686047690,5e2b1ee519084e5caa59328645b8825823851886,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
27,0,0,0,0,12,end,0,1686047683,1686047717,5297a079365c73125d6b05854bb3f14f82155439,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
28,0,0,0,0,10,end,0,1686047476,1686047532,5297a079365c73125d6b05854bb3f14f26230517,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
29,0,0,0,0,12,end,0,1686047797,1686047810,5297a079365c73125d6b05854bb3f14f31235448,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
30,0,0,0,0,12,end,0,1686048038,1686048428,5297a079365c73125d6b05854bb3f14f64720118,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
31,0,0,0,0,12,end,0,1686048144,1686051162,bce49d7bcf8f51b6be7ad12debb4bffc66634825,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
32,0,0,0,0,12,end,0,1686047879,1686047886,5297a079365c73125d6b05854bb3f14f53645646,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
33,0,0,0,0,12,end,0,1686048088,1686048447,5297a079365c73125d6b05854bb3f14f72824362,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
34,0,0,0,0,12,end,0,1686047821,1686047836,5e2b1ee519084e5caa59328645b8825841918503,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
35,0,0,0,0,12,end,0,1686047924,1686047943,5297a079365c73125d6b05854bb3f14f38965826,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
36,0,0,0,0,12,end,0,1686047924,1686048045,5297a079365c73125d6b05854bb3f14f44551018,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
37,0,0,0,0,12,end,0,1686047898,1686047908,bce49d7bcf8f51b6be7ad12debb4bffc38180260,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
38,0,0,0,0,12,end,0,1686048074,1686050994,5297a079365c73125d6b05854bb3f14f94622744,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
39,0,0,0,0,12,end,0,1686047857,1686048417,bce49d7bcf8f51b6be7ad12debb4bffc47731804,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
40,0,0,0,0,12,end,0,1686047973,1686048398,5297a079365c73125d6b05854bb3f14f20999645,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
41,0,0,0,0,12,end,0,1686048010,1686048035,bce49d7bcf8f51b6be7ad12debb4bffc28781464,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
42,0,0,0,0,12,end,0,1686048013,1686048556,5297a079365c73125d6b05854bb3f14f61947484,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
43,0,0,0,0,12,end,0,1686048099,1686048115,5e2b1ee519084e5caa59328645b8825899152168,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
44,0,0,0,0,12,end,0,1686048041,1686048409,5e2b1ee519084e5caa59328645b8825895158614,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
45,0,0,0,0,12,end,0,1686048147,1686048164,5297a079365c73125d6b05854bb3f14f56147853,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
46,0,0,0,0,5,play,0,1686047198,1686047419,5297a079365c73125d6b05854bb3f14f87537245,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
47,0,0,0,0,12,end,0,1686048094,1686048135,5e2b1ee519084e5caa59328645b8825882269004,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
48,0,0,0,0,12,end,0,1686048088,1686048101,5297a079365c73125d6b05854bb3f14f32420099,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
49,0,0,0,0,12,end,0,1686048253,1686052319,5e2b1ee519084e5caa59328645b8825861692357,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
50,0,0,0,0,12,end,0,1686048275,1686051195,5e2b1ee519084e5caa59328645b8825862073351,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
51,0,0,0,0,12,end,0,1686048207,1686048230,bce49d7bcf8f51b6be7ad12debb4bffc87163216,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
52,0,0,0,0,12,end,0,1686052049,1686052339,5297a079365c73125d6b05854bb3f14f49284366,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
53,0,0,0,0,12,end,0,1686052136,1686052230,5e2b1ee519084e5caa59328645b8825841814610,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
54,0,0,0,0,12,end,0,1686052180,1686053293,5297a079365c73125d6b05854bb3f14f27011143,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
55,0,0,0,0,12,end,0,1686052155,1686052358,bce49d7bcf8f51b6be7ad12debb4bffc64996078,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
56,0,0,0,0,12,end,0,1686052227,1686052378,5297a079365c73125d6b05854bb3f14f87303857,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
57,0,0,0,0,12,end,0,1686052621,1686052628,5297a079365c73125d6b05854bb3f14f98586785,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
58,0,0,0,0,12,end,0,1686052115,1686052401,bce49d7bcf8f51b6be7ad12debb4bffc91214279,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
59,0,0,0,0,4,play,0,1686051287,1686051482,5297a079365c73125d6b05854bb3f14f80846009,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
60,0,0,0,0,12,end,0,1686052422,1686052506,5e2b1ee519084e5caa59328645b8825892731270,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
61,0,0,0,0,12,end,0,1686052623,1686053017,5297a079365c73125d6b05854bb3f14f20562703,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
62,0,0,0,0,1,quiz,0,1686051295,1686051347,5e2b1ee519084e5caa59328645b8825899017213,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
63,0,0,0,0,12,end,0,1686052394,1686052450,bce49d7bcf8f51b6be7ad12debb4bffc82583384,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
64,0,0,0,0,12,end,0,1686052189,1686052203,5297a079365c73125d6b05854bb3f14f12336687,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
65,0,0,0,0,12,end,0,1686052386,1686052465,bce49d7bcf8f51b6be7ad12debb4bffc63157763,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
66,0,0,0,0,12,end,0,1686052283,1686052296,bce49d7bcf8f51b6be7ad12debb4bffc28255147,178.226.87,52.9405#6.6016,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
67,0,0,0,0,12,end,0,1686052374,1686052490,5297a079365c73125d6b05854bb3f14f21906253,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
68,0,0,0,0,12,end,0,1686052312,1686052325,5297a079365c73125d6b05854bb3f14f78923342,178.224.11,51.7731#4.6752,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
69,0,0,0,0,12,end,0,1686052433,1686052451,5e2b1ee519084e5caa59328645b8825862189738,178.224.10,50.9033#5.8829,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
